FET Vgs-Id
VG=	0	to	2	in	0.02	step
VDS=	0.05	to	0.5	in	0.45	step
NO.	VG	ID
	V	A
1	0	5.324E-10
2	0.02	1.656E-09
3	0.04	-9.083E-10
4	0.06	1.998E-09
5	0.08	-8.153E-10
6	0.1	1.9361E-09
7	0.12	1.9566E-09
8	0.14	-9.511E-10
9	0.16	-1.0609E-09
10	0.18	7.982E-10
11	0.2	1.8811E-09
12	0.22	1.7964E-09
13	0.24	-1.1258E-09
14	0.26	-8.288E-10
15	0.28	-9.72E-10
16	0.3	1.8708E-09
17	0.32	1.9966E-09
18	0.34	-1.0332E-09
19	0.36	-1.1882E-09
20	0.38	-7.869E-10
21	0.4	1.7736E-09
22	0.42	1.9118E-09
23	0.44	-9.103E-10
24	0.46	-1.074E-09
25	0.48	-1.0957E-09
26	0.5	1.4968E-09
27	0.52	1.9358E-09
28	0.54	-5.735E-10
29	0.56	-8.877E-10
30	0.58	-8.455E-10
31	0.6	1.4261E-09
32	0.62	1.9841E-09
33	0.64	-6.655E-10
34	0.66	-9.272E-10
35	0.68	-9.071E-10
36	0.7	1.3034E-09
37	0.72	1.8577E-09
38	0.74	-5.516E-10
39	0.76	-9.496E-10
40	0.78	-9.509E-10
41	0.8	1.5827E-09
42	0.82	2.2881E-09
43	0.84	1.1998E-09
44	0.86	3.732E-10
45	0.88	2.9222E-09
46	0.9	5.9992E-09
47	0.92	1.14265E-08
48	0.94	1.7048E-08
49	0.96	3.1256E-08
50	0.98	5.2492E-08
51	1	8.3422E-08
52	1.02	1.2719E-07
53	1.04	1.9238E-07
54	1.06	2.7487E-07
55	1.08	3.8398E-07
56	1.1	5.1814E-07
57	1.12	6.7832E-07
58	1.14	8.6624E-07
59	1.16	1.08192E-06
60	1.18	1.3041E-06
61	1.2	1.5693E-06
62	1.22	1.848E-06
63	1.24	2.138E-06
64	1.26	2.4361E-06
65	1.28	2.743E-06
66	1.3	3.0537E-06
67	1.32	3.3686E-06
68	1.34	3.6859E-06
69	1.36	4.0026E-06
70	1.38	4.3174E-06
71	1.4	4.6265E-06
72	1.42	4.9338E-06
73	1.44	5.2347E-06
74	1.46	5.5322E-06
75	1.48	5.8228E-06
76	1.5	6.1082E-06
77	1.52	6.3884E-06
78	1.54	6.6576E-06
79	1.56	6.9214E-06
80	1.58	7.1776E-06
81	1.6	7.4273E-06
82	1.62	7.6697E-06
83	1.64	7.9052E-06
84	1.66	8.1343E-06
85	1.68	8.3531E-06
86	1.7	8.5655E-06
87	1.72	8.7727E-06
88	1.74	8.9679E-06
89	1.76	9.1614E-06
90	1.78	9.3453E-06
91	1.8	9.5239E-06
92	1.82	9.6963E-06
93	1.84	9.8592E-06
94	1.86	1.00166E-05
95	1.88	1.01697E-05
96	1.9	1.03129E-05
97	1.92	1.04557E-05
98	1.94	1.05862E-05
99	1.96	1.07143E-05
100	1.98	1.0836E-05
101	2	1.09482E-05
102	2	1.08582E-05
103	1.98	1.05791E-05
104	1.96	1.03567E-05
105	1.94	1.01481E-05
106	1.92	9.9451E-06
107	1.9	9.7421E-06
108	1.88	9.5384E-06
109	1.86	9.3296E-06
110	1.84	9.1212E-06
111	1.82	8.9065E-06
112	1.8	8.688E-06
113	1.78	8.4678E-06
114	1.76	8.2454E-06
115	1.74	8.0144E-06
116	1.72	7.7814E-06
117	1.7	7.5418E-06
118	1.68	7.2992E-06
119	1.66	7.0505E-06
120	1.64	6.795E-06
121	1.62	6.5345E-06
122	1.6	6.2732E-06
123	1.58	6.0042E-06
124	1.56	5.733E-06
125	1.54	5.4584E-06
126	1.52	5.1764E-06
127	1.5	4.892E-06
128	1.48	4.6054E-06
129	1.46	4.3154E-06
130	1.44	4.0209E-06
131	1.42	3.7289E-06
132	1.4	3.4348E-06
133	1.38	3.1441E-06
134	1.36	2.8525E-06
135	1.34	2.5644E-06
136	1.32	2.2811E-06
137	1.3	2.0065E-06
138	1.28	1.7374E-06
139	1.26	1.4854E-06
140	1.24	1.2462E-06
141	1.22	1.0266E-06
142	1.2	8.3402E-07
143	1.18	6.5015E-07
144	1.16	4.9697E-07
145	1.14	3.6938E-07
146	1.12	2.6576E-07
147	1.1	1.8387E-07
148	1.08	1.2497E-07
149	1.06	8.2028E-08
150	1.04	5.1254E-08
151	1.02	3.232E-08
152	1	2.0681E-08
153	0.98	1.1082E-08
154	0.96	6.5064E-09
155	0.94	5.469E-09
156	0.92	2.0938E-09
157	0.9	1.7363E-09
158	0.88	1.0644E-09
159	0.86	2.169E-09
160	0.84	-9.571E-10
161	0.82	-1.0116E-09
162	0.8	-9.472E-10
163	0.78	1.3859E-09
164	0.76	2.0006E-09
165	0.74	1.868E-09
166	0.72	-1.0386E-09
167	0.7	-1.0261E-09
168	0.68	-9.59E-10
169	0.66	1.1484E-09
170	0.64	2.0167E-09
171	0.62	1.8791E-09
172	0.6	-1.1197E-09
173	0.58	-1.0662E-09
174	0.56	-9.348E-10
175	0.54	1.0492E-09
176	0.52	1.934E-09
177	0.5	1.9872E-09
178	0.48	-8.495E-10
179	0.46	-9.884E-10
180	0.44	-8.286E-10
181	0.42	1.1573E-09
182	0.4	1.9125E-09
183	0.38	1.9922E-09
184	0.36	-1.223E-09
185	0.34	-1.29E-09
186	0.32	-1.2167E-09
187	0.3	1.6968E-09
188	0.28	2.0102E-09
189	0.26	1.912E-09
190	0.24	-4.466E-10
191	0.22	-8.953E-10
