FET Vgs-Id
VG=	-1	to	3	in	0.02	step
VDS=	0.05	to	0.5	in	0.45	step
NO.	VG	ID
	V	A
1	-1	1.5974E-07
2	-0.98	1.6199E-07
3	-0.96	1.5888E-07
4	-0.94	1.5633E-07
5	-0.92	1.5876E-07
6	-0.9	1.6011E-07
7	-0.88	1.6205E-07
8	-0.86	1.5991E-07
9	-0.84	1.5958E-07
10	-0.82	1.5838E-07
11	-0.8	1.5643E-07
12	-0.78	1.5875E-07
13	-0.76	1.5912E-07
14	-0.74	1.5913E-07
15	-0.72	1.6138E-07
16	-0.7	1.6195E-07
17	-0.68	1.5996E-07
18	-0.66	1.5975E-07
19	-0.64	1.5836E-07
20	-0.62	1.5654E-07
21	-0.6	1.5893E-07
22	-0.58	1.5905E-07
23	-0.56	1.6017E-07
24	-0.54	1.6225E-07
25	-0.52	1.6005E-07
26	-0.5	1.599E-07
27	-0.48	1.595E-07
28	-0.46	1.5743E-07
29	-0.44	1.5828E-07
30	-0.42	1.5899E-07
31	-0.4	1.5991E-07
32	-0.38	1.6257E-07
33	-0.36	1.6061E-07
34	-0.34	1.5996E-07
35	-0.32	1.5973E-07
36	-0.3	1.5785E-07
37	-0.28	1.5538E-07
38	-0.26	1.5888E-07
39	-0.24	1.5905E-07
40	-0.22	1.6051E-07
41	-0.2	1.6251E-07
42	-0.18	1.6E-07
43	-0.16	1.5958E-07
44	-0.14	1.5897E-07
45	-0.12	1.5645E-07
46	-0.1	1.588E-07
47	-0.08	1.5916E-07
48	-0.06	1.6001E-07
49	-0.04	1.63E-07
50	-0.02	1.6074E-07
51	0	1.6169E-07
52	0.02	1.6321E-07
53	0.04	1.6555E-07
54	0.06	1.7477E-07
55	0.08	1.9022E-07
56	0.1	2.1981E-07
57	0.12	2.5946E-07
58	0.14	3.2485E-07
59	0.16	4.1122E-07
60	0.18	5.2408E-07
61	0.2	6.5809E-07
62	0.22	8.055E-07
63	0.24	9.7254E-07
64	0.26	1.1373E-06
65	0.28	1.322E-06
66	0.3	1.4999E-06
67	0.32	1.6859E-06
68	0.34	1.8636E-06
69	0.36	2.0542E-06
70	0.38	2.2311E-06
71	0.4	2.4098E-06
72	0.42	2.5964E-06
73	0.44	2.7673E-06
74	0.46	2.9458E-06
75	0.48	3.1151E-06
76	0.5	3.2868E-06
77	0.52	3.4559E-06
78	0.54	3.6204E-06
79	0.56	3.7832E-06
80	0.58	3.9487E-06
81	0.6	4.1026E-06
82	0.62	4.2567E-06
83	0.64	4.4123E-06
84	0.66	4.5602E-06
85	0.68	4.7177E-06
86	0.7	4.8559E-06
87	0.72	5.0076E-06
88	0.74	5.1517E-06
89	0.76	5.294E-06
90	0.78	5.4305E-06
91	0.8	5.5655E-06
92	0.82	5.7034E-06
93	0.84	5.8377E-06
94	0.86	5.9654E-06
95	0.88	6.0999E-06
96	0.9	6.2334E-06
97	0.92	6.3562E-06
98	0.94	6.4855E-06
99	0.96	6.6067E-06
100	0.98	6.7342E-06
101	1	6.8502E-06
102	1.02	6.9644E-06
103	1.04	7.0923E-06
104	1.06	7.2097E-06
105	1.08	7.3251E-06
106	1.1	7.4386E-06
107	1.12	7.5532E-06
108	1.14	7.6651E-06
109	1.16	7.7823E-06
110	1.18	7.8817E-06
