FET Vds-Id
VDS=	0	to	1.5	in	0.02	step
VG=	0	to	1.5	in	0.5	step
NO.	VDS	ID
	V	A
1	0	-3.16E-11
2	0.02	2.8913E-09
3	0.04	2.328E-09
4	0.06	5.3595E-09
5	0.08	1.7148E-09
6	0.1	5.1646E-09
7	0.12	5.1862E-09
8	0.14	4.6705E-09
9	0.16	8.8765E-09
10	0.18	6.4074E-09
11	0.2	8.1186E-09
12	0.22	8.9845E-09
13	0.24	1.221E-08
14	0.26	1.0282E-08
15	0.28	1.2896E-08
16	0.3	1.1245E-08
17	0.32	1.2103E-08
18	0.34	1.4527E-08
19	0.36	1.5625E-08
20	0.38	1.5186E-08
21	0.4	1.8264E-08
22	0.42	2.3538E-08
23	0.44	2.0651E-08
24	0.46	1.9909E-08
25	0.48	2.5387E-08
26	0.5	2.7951E-08
27	0.52	2.7583E-08
28	0.54	3.0061E-08
29	0.56	3.364E-08
30	0.58	3.5196E-08
31	0.6	3.4487E-08
32	0.62	4.1211E-08
33	0.64	4.6479E-08
34	0.66	4.523E-08
35	0.68	4.7342E-08
36	0.7	5.432E-08
37	0.72	5.6955E-08
38	0.74	6.0122E-08
39	0.76	6.5643E-08
40	0.78	7.089E-08
41	0.8	7.2619E-08
42	0.82	7.2068E-08
43	0.84	8.3162E-08
44	0.86	9.1695E-08
45	0.88	9.4286E-08
46	0.9	9.7826E-08
47	0.92	1.08096E-07
48	0.94	1.1534E-07
49	0.96	1.2112E-07
50	0.98	1.2825E-07
51	1	1.3703E-07
52	1.02	1.4396E-07
53	1.04	1.5177E-07
54	1.06	1.649E-07
55	1.08	1.7398E-07
56	1.1	1.8243E-07
57	1.12	1.9296E-07
58	1.14	2.0241E-07
59	1.16	2.155E-07
60	1.18	2.4086E-07
61	1.2	2.5328E-07
62	1.22	2.6498E-07
63	1.24	2.7799E-07
64	1.26	3.005E-07
65	1.28	3.097E-07
66	1.3	3.2824E-07
67	1.32	3.5163E-07
68	1.34	3.7362E-07
69	1.36	3.9754E-07
70	1.38	4.1625E-07
71	1.4	4.2663E-07
72	1.42	4.5604E-07
73	1.44	4.8409E-07
74	1.46	5.125E-07
75	1.48	5.4492E-07
76	1.5	5.7512E-07
77	0	3.321E-10
78	0.02	2.092E-09
79	0.04	3.2125E-09
80	0.06	5.4767E-09
81	0.08	2.1714E-09
82	0.1	5.8692E-09
83	0.12	5.8282E-09
84	0.14	6.0786E-09
85	0.16	9.0776E-09
86	0.18	5.5494E-09
87	0.2	8.9544E-09
88	0.22	1.2217E-08
89	0.24	1.0412E-08
90	0.26	1.2581E-08
91	0.28	1.121E-08
92	0.3	1.1659E-08
93	0.32	1.427E-08
94	0.34	1.4991E-08
95	0.36	1.42E-08
96	0.38	1.7421E-08
97	0.4	2.2077E-08
98	0.42	1.8986E-08
99	0.44	1.7472E-08
100	0.46	2.2761E-08
101	0.48	2.5304E-08
102	0.5	2.5215E-08
103	0.52	2.783E-08
104	0.54	3.162E-08
105	0.56	3.2355E-08
106	0.58	3.1292E-08
107	0.6	3.6572E-08
108	0.62	4.2263E-08
109	0.64	4.2444E-08
110	0.66	4.3238E-08
111	0.68	5.1075E-08
112	0.7	5.4061E-08
113	0.72	5.5604E-08
114	0.74	5.8301E-08
115	0.76	6.6158E-08
116	0.78	6.573E-08
