FET Vgs-Id
VG=	-1	to	2	in	0.02	step
VDS=	0.05	to	0.5	in	0.45	step
NO.	VG	ID
	V	A
1	-1	2.8911E-09
2	-0.98	3.7536E-09
3	-0.96	5.3523E-09
4	-0.94	3.7669E-09
5	-0.92	4.0542E-09
6	-0.9	3.8177E-09
7	-0.88	3.2482E-09
8	-0.86	2.0621E-09
9	-0.84	3.4106E-09
10	-0.82	3.667E-09
11	-0.8	4.0979E-09
12	-0.78	5.2564E-09
13	-0.76	4.5915E-09
14	-0.74	3.8874E-09
15	-0.72	3.5777E-09
16	-0.7	2.4724E-09
17	-0.68	2.1965E-09
18	-0.66	3.4115E-09
19	-0.64	3.7143E-09
20	-0.62	4.6737E-09
21	-0.6	5.1965E-09
22	-0.58	3.9733E-09
23	-0.56	3.6684E-09
24	-0.54	2.8251E-09
25	-0.52	2.0767E-09
26	-0.5	3.4048E-09
27	-0.48	3.5792E-09
28	-0.46	4.3999E-09
29	-0.44	5.2775E-09
30	-0.42	3.9162E-09
31	-0.4	3.6793E-09
32	-0.38	2.897E-09
33	-0.36	1.9644E-09
34	-0.34	3.334E-09
35	-0.32	3.5063E-09
36	-0.3	4.3075E-09
37	-0.28	5.1234E-09
38	-0.26	3.8717E-09
39	-0.24	3.6685E-09
40	-0.22	3.0439E-09
41	-0.2	1.8638E-09
42	-0.18	3.0991E-09
43	-0.16	3.3949E-09
44	-0.14	4.0547E-09
45	-0.12	4.9861E-09
46	-0.1	3.8246E-09
47	-0.08	3.4392E-09
48	-0.06	2.8748E-09
49	-0.04	1.6909E-09
50	-0.02	2.9058E-09
51	0	3.0704E-09
52	0.02	3.7734E-09
53	0.04	4.7869E-09
54	0.06	3.5098E-09
55	0.08	2.9585E-09
56	0.1	1.6951E-09
57	0.12	2.9471E-09
58	0.14	3.1962E-09
59	0.16	4.0341E-09
60	0.18	4.8368E-09
61	0.2	3.4675E-09
62	0.22	3.2924E-09
63	0.24	2.3989E-09
64	0.26	1.5562E-09
65	0.28	2.9021E-09
66	0.3	3.1347E-09
67	0.32	3.9777E-09
68	0.34	4.742E-09
69	0.36	3.5221E-09
70	0.38	3.3307E-09
71	0.4	2.5847E-09
72	0.42	1.6509E-09
73	0.44	2.994E-09
74	0.46	3.3485E-09
75	0.48	4.1507E-09
76	0.5	5.6879E-09
77	0.52	5.4895E-09
78	0.54	7.1073E-09
79	0.56	1.02661E-08
80	0.58	1.8325E-08
81	0.6	3.4157E-08
82	0.62	5.6107E-08
83	0.64	9.6511E-08
84	0.66	1.5231E-07
85	0.68	2.3627E-07
86	0.7	3.4392E-07
87	0.72	4.791E-07
88	0.74	6.3126E-07
89	0.76	8.0531E-07
90	0.78	9.957E-07
91	0.8	1.1893E-06
92	0.82	1.4102E-06
93	0.84	1.6397E-06
94	0.86	1.8747E-06
95	0.88	2.1164E-06
96	0.9	2.3651E-06
97	0.92	2.615E-06
98	0.94	2.8694E-06
99	0.96	3.128E-06
100	0.98	3.389E-06
101	1	3.6525E-06
102	1.02	3.9133E-06
103	1.04	4.1839E-06
104	1.06	4.4492E-06
105	1.08	4.7168E-06
106	1.1	4.9834E-06
107	1.12	5.2497E-06
108	1.14	5.5214E-06
109	1.16	5.7804E-06
110	1.18	6.0472E-06
111	1.2	6.3138E-06
112	1.22	6.5765E-06
113	1.24	6.8377E-06
114	1.26	7.097E-06
115	1.28	7.3554E-06
116	1.3	7.6135E-06
117	1.32	7.8594E-06
118	1.34	8.1049E-06
119	1.36	8.3579E-06
120	1.38	8.6042E-06
121	1.4	8.8431E-06
122	1.42	9.0828E-06
123	1.44	9.3179E-06
124	1.46	9.5523E-06
125	1.48	9.7795E-06
126	1.5	9.9936E-06
127	1.52	1.02186E-05
128	1.54	1.04383E-05
129	1.56	1.06487E-05
130	1.58	1.0858E-05
131	1.6	1.10623E-05
132	1.62	1.12635E-05
133	1.64	1.1434E-05
134	1.66	1.1647E-05
135	1.68	1.1825E-05
136	1.7	1.2014E-05
137	1.72	1.2192E-05
138	1.74	1.2365E-05
139	1.76	1.2533E-05
140	1.78	1.2695E-05
141	1.8	1.2861E-05
142	1.82	1.3E-05
143	1.84	1.3145E-05
144	1.86	1.3296E-05
145	1.88	1.3434E-05
146	1.9	1.3569E-05
147	1.92	1.3697E-05
148	1.94	1.3825E-05
149	1.96	1.3952E-05
150	1.98	1.405E-05
151	2	1.4163E-05
152	2	1.4091E-05
153	1.98	1.3824E-05
154	1.96	1.36E-05
155	1.94	1.3388E-05
156	1.92	1.3184E-05
157	1.9	1.2987E-05
158	1.88	1.277E-05
159	1.86	1.257E-05
160	1.84	1.2377E-05
161	1.82	1.2173E-05
162	1.8	1.1973E-05
163	1.78	1.1768E-05
164	1.76	1.1564E-05
165	1.74	1.136E-05
166	1.72	1.1156E-05
167	1.7	1.0933E-05
168	1.68	1.0717E-05
169	1.66	1.051E-05
170	1.64	1.0292E-05
171	1.62	1.0075E-05
172	1.6	9.8651E-06
173	1.58	9.6266E-06
174	1.56	9.4035E-06
175	1.54	9.1807E-06
176	1.52	8.9424E-06
177	1.5	8.7036E-06
178	1.48	8.4766E-06
179	1.46	8.2427E-06
180	1.44	8.0026E-06
181	1.42	7.7634E-06
182	1.4	7.5219E-06
183	1.38	7.279E-06
184	1.36	7.0332E-06
185	1.34	6.7891E-06
186	1.32	6.5373E-06
187	1.3	6.2826E-06
188	1.28	6.0343E-06
189	1.26	5.7834E-06
190	1.24	5.53E-06
191	1.22	5.275E-06
192	1.2	5.0199E-06
193	1.18	4.763E-06
194	1.16	4.5076E-06
195	1.14	4.2541E-06
196	1.12	3.9945E-06
197	1.1	3.7379E-06
198	1.08	3.488E-06
199	1.06	3.2371E-06
200	1.04	2.9845E-06
201	1.02	2.7355E-06
202	1	2.4921E-06
