FET Vgs-Id
VG=	-2	to	4	in	0.02	step
VDS=	0.05	to	0.5	in	0.45	step
NO.	VG	ID
	V	A
1	-2	6.2409E-07
2	-1.98	5.638E-07
3	-1.96	5.1027E-07
4	-1.94	4.5115E-07
5	-1.92	4.0401E-07
6	-1.9	3.5699E-07
7	-1.88	3.1528E-07
8	-1.86	2.7569E-07
9	-1.84	2.4167E-07
10	-1.82	2.1272E-07
11	-1.8	1.8585E-07
12	-1.78	1.6265E-07
13	-1.76	1.4181E-07
14	-1.74	1.2455E-07
15	-1.72	1.0545E-07
16	-1.7	9.2088E-08
17	-1.68	7.6827E-08
18	-1.66	6.4773E-08
19	-1.64	5.6215E-08
20	-1.62	4.8575E-08
21	-1.6	4.1177E-08
22	-1.58	3.6137E-08
23	-1.56	3.2507E-08
24	-1.54	2.6778E-08
25	-1.52	2.2573E-08
26	-1.5	1.9297E-08
27	-1.48	1.5499E-08
28	-1.46	1.1673E-08
29	-1.44	1.1448E-08
30	-1.42	1.0524E-08
31	-1.4	9.545E-09
32	-1.38	7.3798E-09
33	-1.36	4.8634E-09
34	-1.34	5.5763E-09
35	-1.32	3.594E-09
36	-1.3	3.8449E-09
37	-1.28	3.4869E-09
38	-1.26	3.9089E-09
39	-1.24	4.1785E-09
40	-1.22	2.6058E-09
41	-1.2	2.0728E-09
42	-1.18	1.603E-09
43	-1.16	1.5495E-09
44	-1.14	1.4341E-09
45	-1.12	1.2453E-09
46	-1.1	1.1734E-09
47	-1.08	8.661E-10
48	-1.06	1.6077E-09
49	-1.04	2.3314E-09
50	-1.02	2.2887E-09
51	-1	2.2971E-09
52	-0.98	2.1702E-09
53	-0.96	-8.466E-10
54	-0.94	-9.179E-10
55	-0.92	-8.675E-10
56	-0.9	1.5041E-09
57	-0.88	2.0871E-09
58	-0.86	2.1323E-09
59	-0.84	-1.0714E-09
60	-0.82	-1.0631E-09
61	-0.8	-9.429E-10
62	-0.78	1.1848E-09
63	-0.76	2.0511E-09
64	-0.74	2.0009E-09
65	-0.72	-9.319E-10
66	-0.7	-9.956E-10
67	-0.68	-8.007E-10
68	-0.66	1.038E-09
69	-0.64	1.9289E-09
70	-0.62	2.0248E-09
71	-0.6	-8.331E-10
72	-0.58	-8.441E-10
73	-0.56	-1.2272E-09
74	-0.54	9.539E-10
75	-0.52	1.7341E-09
76	-0.5	1.9403E-09
77	-0.48	-3.744E-10
78	-0.46	-6.445E-10
79	-0.44	-1.2146E-09
80	-0.42	9.577E-10
81	-0.4	1.9381E-09
82	-0.38	2.028E-09
83	-0.36	-6.345E-10
84	-0.34	-7.56E-10
85	-0.32	-1.322E-09
86	-0.3	1.0407E-09
87	-0.28	2.0082E-09
88	-0.26	1.8122E-09
89	-0.24	-9.002E-10
90	-0.22	-9.158E-10
91	-0.2	-8.189E-10
92	-0.18	1.0683E-09
93	-0.16	1.9903E-09
94	-0.14	1.9268E-09
95	-0.12	-8.954E-10
96	-0.1	-9.561E-10
97	-0.08	-8.061E-10
98	-0.06	9.968E-10
99	-0.04	2.0261E-09
100	-0.02	1.9086E-09
101	0	-5.215E-10
102	0.02	-1.0144E-09
103	0.04	-1.0095E-09
104	0.06	1.8904E-09
105	0.08	1.9281E-09
106	0.1	-5.839E-10
107	0.12	-9.73E-10
108	0.14	-8.63E-10
109	0.16	1.7757E-09
110	0.18	2.048E-09
111	0.2	-4.982E-10
112	0.22	-6.852E-10
113	0.24	-1.1425E-09
114	0.26	8.973E-10
115	0.28	1.9391E-09
116	0.3	2.0606E-09
117	0.32	-6.533E-10
118	0.34	-7.094E-10
119	0.36	-1.1122E-09
120	0.38	8.509E-10
121	0.4	1.9564E-09
122	0.42	1.9944E-09
123	0.44	-5.654E-10
124	0.46	-6.753E-10
125	0.48	-1.0812E-09
126	0.5	9.56E-10
127	0.52	1.9011E-09
128	0.54	2.0227E-09
129	0.56	-6.44E-10
130	0.58	-8.305E-10
131	0.6	-1.3283E-09
132	0.62	1.099E-09
133	0.64	1.9123E-09
134	0.66	1.8927E-09
135	0.68	-1.0394E-09
136	0.7	-9.46E-10
137	0.72	-5.81E-10
138	0.74	1.215E-09
139	0.76	2.47E-09
140	0.78	1.2399E-09
141	0.8	1.5154E-09
142	0.82	4.357E-10
143	0.84	1.8927E-09
144	0.86	2.8066E-09
145	0.88	4.7208E-09
146	0.9	6.0236E-09
147	0.92	5.9544E-09
148	0.94	7.2694E-09
149	0.96	8.3221E-09
150	0.98	9.4029E-09
151	1	1.1896E-08
152	1.02	1.5837E-08
153	1.04	2.0389E-08
154	1.06	2.4676E-08
155	1.08	2.9622E-08
156	1.1	3.3958E-08
157	1.12	3.9123E-08
158	1.14	4.7421E-08
159	1.16	5.5844E-08
160	1.18	6.46E-08
161	1.2	7.55E-08
162	1.22	8.8724E-08
163	1.24	9.8837E-08
164	1.26	9.7308E-08
165	1.28	1.0504E-07
166	1.3	1.3214E-07
167	1.32	1.5815E-07
168	1.34	1.7975E-07
169	1.36	2.0003E-07
170	1.38	2.2672E-07
171	1.4	2.5203E-07
172	1.42	2.7942E-07
173	1.44	3.1124E-07
174	1.46	3.4121E-07
175	1.48	3.7431E-07
176	1.5	4.0862E-07
177	1.52	4.462E-07
178	1.54	4.8255E-07
179	1.56	5.256E-07
