FET Vgs-Id
VG=	-1	to	3	in	0.02	step
VDS=	0.05	to	0.5	in	0.45	step
NO.	VG	ID
	V	A
1	-1	4.8716E-07
2	-0.98	4.8955E-07
3	-0.96	4.86E-07
4	-0.94	4.8302E-07
5	-0.92	4.8574E-07
6	-0.9	4.874E-07
7	-0.88	4.9007E-07
8	-0.86	4.8638E-07
9	-0.84	4.861E-07
10	-0.82	4.8346E-07
11	-0.8	4.8134E-07
12	-0.78	4.8509E-07
13	-0.76	4.8496E-07
14	-0.74	4.8683E-07
15	-0.72	4.8874E-07
16	-0.7	4.8589E-07
17	-0.68	4.8588E-07
18	-0.66	4.8477E-07
19	-0.64	4.8204E-07
20	-0.62	4.8504E-07
21	-0.6	4.8538E-07
22	-0.58	4.8658E-07
23	-0.56	4.8871E-07
24	-0.54	4.871E-07
25	-0.52	4.8626E-07
26	-0.5	4.8599E-07
27	-0.48	4.8371E-07
28	-0.46	4.8219E-07
29	-0.44	4.853E-07
30	-0.42	4.8532E-07
31	-0.4	4.869E-07
32	-0.38	4.9084E-07
33	-0.36	4.869E-07
34	-0.34	4.8649E-07
35	-0.32	4.8469E-07
36	-0.3	4.8141E-07
37	-0.28	4.8523E-07
38	-0.26	4.8532E-07
39	-0.24	4.869E-07
40	-0.22	4.8941E-07
41	-0.2	4.8676E-07
42	-0.18	4.8642E-07
43	-0.16	4.8501E-07
44	-0.14	4.8282E-07
45	-0.12	4.8563E-07
46	-0.1	4.8587E-07
47	-0.08	4.8669E-07
48	-0.06	4.8866E-07
49	-0.04	4.8786E-07
50	-0.02	4.8642E-07
51	0	4.8626E-07
52	0.02	4.8537E-07
53	0.04	4.8386E-07
54	0.06	4.9002E-07
55	0.08	4.9648E-07
56	0.1	5.0806E-07
57	0.12	5.2178E-07
58	0.14	5.5096E-07
59	0.16	5.9458E-07
60	0.18	6.6269E-07
61	0.2	7.5603E-07
62	0.22	8.6929E-07
63	0.24	1.00859E-06
64	0.26	1.1531E-06
65	0.28	1.3195E-06
66	0.3	1.486E-06
67	0.32	1.6636E-06
68	0.34	1.8369E-06
69	0.36	2.0177E-06
70	0.38	2.1987E-06
71	0.4	2.3723E-06
72	0.42	2.5586E-06
73	0.44	2.735E-06
74	0.46	2.9122E-06
75	0.48	3.0836E-06
76	0.5	3.2571E-06
77	0.52	3.4254E-06
78	0.54	3.595E-06
79	0.56	3.7585E-06
80	0.58	3.9284E-06
81	0.6	4.0836E-06
82	0.62	4.2391E-06
83	0.64	4.3974E-06
84	0.66	4.5482E-06
85	0.68	4.7078E-06
86	0.7	4.8504E-06
87	0.72	5.0033E-06
88	0.74	5.1497E-06
89	0.76	5.2946E-06
90	0.78	5.4343E-06
91	0.8	5.5711E-06
92	0.82	5.7119E-06
93	0.84	5.849E-06
94	0.86	5.98E-06
95	0.88	6.1158E-06
96	0.9	6.2535E-06
97	0.92	6.3774E-06
98	0.94	6.5089E-06
99	0.96	6.6328E-06
100	0.98	6.7609E-06
101	1	6.8834E-06
102	1.02	6.9972E-06
103	1.04	7.126E-06
104	1.06	7.2465E-06
105	1.08	7.3647E-06
106	1.1	7.4805E-06
107	1.12	7.598E-06
108	1.14	7.7103E-06
109	1.16	7.8316E-06
110	1.18	7.9335E-06
111	1.2	8.0448E-06
112	1.22	8.1604E-06
113	1.24	8.2693E-06
114	1.26	8.3762E-06
115	1.28	8.481E-06
116	1.3	8.5885E-06
117	1.32	8.6914E-06
118	1.34	8.8024E-06
119	1.36	8.8964E-06
120	1.38	8.9947E-06
121	1.4	9.1019E-06
122	1.42	9.2015E-06
123	1.44	9.3003E-06
124	1.46	9.3966E-06
125	1.48	9.4951E-06
126	1.5	9.5891E-06
127	1.52	9.6915E-06
128	1.54	9.78E-06
129	1.56	9.8661E-06
130	1.58	9.9656E-06
131	1.6	1.00595E-05
132	1.62	1.01496E-05
133	1.64	1.02383E-05
134	1.66	1.03292E-05
135	1.68	1.04184E-05
136	1.7	1.05138E-05
137	1.72	1.05873E-05
138	1.74	1.06771E-05
139	1.76	1.07668E-05
140	1.78	1.08508E-05
141	1.8	1.09349E-05
142	1.82	1.10169E-05
143	1.84	1.11015E-05
144	1.86	1.11871E-05
145	1.88	1.12642E-05
146	1.9	1.13351E-05
147	1.92	1.1434E-05
148	1.94	1.1507E-05
149	1.96	1.1587E-05
150	1.98	1.1665E-05
151	2	1.1738E-05
152	2.02	1.1818E-05
153	2.04	1.1898E-05
154	2.06	1.1964E-05
155	2.08	1.204E-05
156	2.1	1.212E-05
157	2.12	1.2193E-05
158	2.14	1.2264E-05
159	2.16	1.2337E-05
160	2.18	1.2411E-05
161	2.2	1.2486E-05
162	2.22	1.254E-05
163	2.24	1.2618E-05
164	2.26	1.2692E-05
165	2.28	1.276E-05
166	2.3	1.2825E-05
167	2.32	1.2895E-05
168	2.34	1.2964E-05
169	2.36	1.3037E-05
170	2.38	1.3088E-05
171	2.4	1.316E-05
172	2.42	1.323E-05
173	2.44	1.3289E-05
174	2.46	1.3355E-05
175	2.48	1.3418E-05
176	2.5	1.3483E-05
177	2.52	1.3547E-05
178	2.54	1.3606E-05
179	2.56	1.3654E-05
180	2.58	1.3729E-05
181	2.6	1.3789E-05
182	2.62	1.3847E-05
183	2.64	1.3908E-05
184	2.66	1.3962E-05
185	2.68	1.4023E-05
186	2.7	1.4081E-05
187	2.72	1.4128E-05
188	2.74	1.4196E-05
189	2.76	1.4254E-05
190	2.78	1.4307E-05
191	2.8	1.4362E-05
192	2.82	1.4416E-05
193	2.84	1.4474E-05
194	2.86	1.4524E-05
195	2.88	1.4564E-05
196	2.9	1.4627E-05
197	2.92	1.4683E-05
198	2.94	1.4733E-05
199	2.96	1.4784E-05
200	2.98	1.4837E-05
201	3	1.4888E-05
202	-1	6.6911E-07
203	-0.98	6.6935E-07
204	-0.96	6.6801E-07
205	-0.94	6.7279E-07
206	-0.92	6.6915E-07
207	-0.9	6.6864E-07
208	-0.88	6.6596E-07
209	-0.86	6.6696E-07
210	-0.84	6.6839E-07
211	-0.82	6.6863E-07
212	-0.8	6.6976E-07
213	-0.78	6.7241E-07
214	-0.76	6.6933E-07
215	-0.74	6.6802E-07
216	-0.72	6.6705E-07
217	-0.7	6.649E-07
218	-0.68	6.6739E-07
219	-0.66	6.6764E-07
220	-0.64	6.6832E-07
221	-0.62	6.6992E-07
222	-0.6	6.7196E-07
223	-0.58	6.6897E-07
224	-0.56	6.698E-07
225	-0.54	6.6758E-07
226	-0.52	6.6574E-07
227	-0.5	6.6808E-07
228	-0.48	6.6846E-07
