Wavelength [nm],Raw [dBm],Smoothed(Savgol) [dBm]
1.500000000000000000e+03,-4.977927999999999997e+01,-4.977927999999999997e+01
1.500200000000000045e+03,-5.608315999999999946e+01,-5.608315999999999946e+01
1.500400000000000091e+03,-5.200739999999999696e+01,-5.200739999999999696e+01
1.500599999999999909e+03,-6.183236000000000132e+01,-6.183236000000000132e+01
1.500799999999999955e+03,-5.773626000000000147e+01,-5.773626000000000147e+01
1.501000000000000000e+03,-5.636332000000000164e+01,-5.636332000000000164e+01
1.501200000000000045e+03,-5.440075999999999823e+01,-5.440075999999999823e+01
1.501400000000000091e+03,-5.499107999999999663e+01,-5.499107999999999663e+01
1.501599999999999909e+03,-5.277454000000000178e+01,-5.277454000000000178e+01
1.501799999999999955e+03,-5.311786000000000030e+01,-5.311786000000000030e+01
1.502000000000000000e+03,-5.296851000000000198e+01,-5.296851000000000198e+01
1.502200000000000045e+03,-5.242345000000000255e+01,-5.242345000000000255e+01
1.502400000000000091e+03,-5.224061999999999983e+01,-5.224061999999999983e+01
1.502599999999999909e+03,-5.177913999999999817e+01,-5.177913999999999817e+01
1.502799999999999955e+03,-5.154198999999999842e+01,-5.154198999999999842e+01
1.503000000000000000e+03,-5.142858999999999980e+01,-5.142858999999999980e+01
1.503200000000000045e+03,-5.046560999999999808e+01,-5.046560999999999808e+01
1.503400000000000091e+03,-5.030313999999999908e+01,-5.030313999999999908e+01
1.503599999999999909e+03,-5.068878999999999735e+01,-5.068878999999999735e+01
1.503799999999999955e+03,-5.016040000000000276e+01,-5.016040000000000276e+01
1.504000000000000000e+03,-5.050325000000000131e+01,-5.050325000000000131e+01
1.504200000000000045e+03,-4.947630999999999801e+01,-4.947630999999999801e+01
1.504400000000000091e+03,-4.932609999999999673e+01,-4.932609999999999673e+01
1.504599999999999909e+03,-4.954556999999999789e+01,-4.954556999999999789e+01
1.504799999999999955e+03,-4.929840000000000089e+01,-4.929840000000000089e+01
1.505000000000000000e+03,-4.954583999999999833e+01,-4.954583999999999833e+01
1.505200000000000045e+03,-4.929890999999999934e+01,-4.929890999999999934e+01
1.505400000000000091e+03,-4.796264999999999645e+01,-4.796264999999999645e+01
1.505599999999999909e+03,-4.833527000000000129e+01,-4.833527000000000129e+01
1.505799999999999955e+03,-4.773736999999999853e+01,-4.773736999999999853e+01
1.506000000000000000e+03,-4.830492999999999881e+01,-4.830492999999999881e+01
1.506200000000000045e+03,-4.864258999999999844e+01,-4.864258999999999844e+01
1.506400000000000091e+03,-4.844845000000000113e+01,-4.844845000000000113e+01
1.506599999999999909e+03,-4.859490999999999872e+01,-4.859490999999999872e+01
1.506799999999999955e+03,-4.812669999999999959e+01,-4.812669999999999959e+01
1.507000000000000000e+03,-4.741837000000000302e+01,-4.741837000000000302e+01
1.507200000000000045e+03,-4.765885000000000105e+01,-4.765885000000000105e+01
1.507400000000000091e+03,-4.748214000000000112e+01,-4.748214000000000112e+01
1.507599999999999909e+03,-4.769051000000000329e+01,-4.769051000000000329e+01
1.507799999999999955e+03,-4.798331000000000301e+01,-4.798331000000000301e+01
1.508000000000000000e+03,-4.808585999999999672e+01,-4.808585999999999672e+01
1.508200000000000045e+03,-4.835602000000000089e+01,-4.835602000000000089e+01
1.508400000000000091e+03,-4.826561999999999841e+01,-4.826561999999999841e+01
1.508599999999999909e+03,-4.784416000000000224e+01,-4.784416000000000224e+01
1.508799999999999955e+03,-4.781040000000000134e+01,-4.781040000000000134e+01
1.509000000000000000e+03,-4.751247000000000043e+01,-4.751247000000000043e+01
1.509200000000000045e+03,-4.729068999999999789e+01,-4.729068999999999789e+01
1.509400000000000091e+03,-4.764368999999999943e+01,-4.764368999999999943e+01
1.509599999999999909e+03,-4.727421999999999969e+01,-4.727421999999999969e+01
1.509799999999999955e+03,-4.775168000000000035e+01,-4.775168000000000035e+01
1.510000000000000000e+03,-4.777096999999999838e+01,-4.777096999999999838e+01
1.510200000000000045e+03,-4.785419000000000267e+01,-4.785419000000000267e+01
1.510400000000000091e+03,-4.758823999999999899e+01,-4.758823999999999899e+01
1.510599999999999909e+03,-4.667658999999999736e+01,-4.667658999999999736e+01
1.510799999999999955e+03,-4.656510999999999711e+01,-4.656510999999999711e+01
1.511000000000000000e+03,-4.644337999999999766e+01,-4.644337999999999766e+01
1.511200000000000045e+03,-4.645277000000000100e+01,-4.645277000000000100e+01
1.511400000000000091e+03,-4.698731999999999687e+01,-4.698731999999999687e+01
1.511599999999999909e+03,-4.697124000000000166e+01,-4.697124000000000166e+01
1.511799999999999955e+03,-4.740314000000000050e+01,-4.740314000000000050e+01
1.512000000000000000e+03,-4.763387999999999778e+01,-4.763387999999999778e+01
